sample_id,depth,nrs_trip_code,nrs_sample_code,amplicon,g__Chattonella_abundance_20K,g__Heterosigma_abundance_20K,g__Pseudochattonella_abundance_20K,g__Trichodesmium_abundance_20K,s__Noctiluca_scintillans_abundance_20K
102.100.100/139766,0.0,NSI20181115,NSI20181115_0,18Sv4F18Sv4R_v4_eukaryote,,,17,,8
102.100.100/139766,0.0,NSI20181115,NSI20181115_0,27f519r_bacteria,,,,103,
102.100.100/139767,0.0,NSI20191220,NSI20191220_0,18Sv4F18Sv4R_v4_eukaryote,,1,11,,7
102.100.100/139767,0.0,NSI20191220,NSI20191220_0,27f519r_bacteria,,,,80,
102.100.100/139768,0.0,NSI20190118,NSI20190118_0,18Sv4F18Sv4R_v4_eukaryote,,,9,,4
102.100.100/139768,0.0,NSI20190118,NSI20190118_0,27f519r_bacteria,,,,148,
102.100.100/139769,0.0,NSI20190322,NSI20190322_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139769,0.0,NSI20190322,NSI20190322_0,27f519r_bacteria,,,,521,
102.100.100/139770,0.0,NSI20190416,NSI20190416_0,18Sv4F18Sv4R_v4_eukaryote,,,27,,
102.100.100/139770,0.0,NSI20190416,NSI20190416_0,27f519r_bacteria,,,,23,
102.100.100/139771,0.0,NSI20190527,NSI20190527_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,6
102.100.100/139771,0.0,NSI20190527,NSI20190527_0,27f519r_bacteria,,,,28,
102.100.100/139772,0.0,NSI20190618,NSI20190618_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139772,0.0,NSI20190618,NSI20190618_0,27f519r_bacteria,,,,7,
102.100.100/139773,0.0,NSI20190723,NSI20190723_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,1
102.100.100/139773,0.0,NSI20190723,NSI20190723_0,27f519r_bacteria,,,,295,
102.100.100/139774,0.0,NSI20190821,NSI20190821_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139774,0.0,NSI20190821,NSI20190821_0,27f519r_bacteria,,,,3,
102.100.100/139775,0.0,NSI20190916,NSI20190916_0,18Sv4F18Sv4R_v4_eukaryote,,,12,,1
102.100.100/139775,0.0,NSI20190916,NSI20190916_0,27f519r_bacteria,,,,3,
102.100.100/139776,0.0,NSI20191024,NSI20191024_0,18Sv4F18Sv4R_v4_eukaryote,,,14,,1
102.100.100/139776,0.0,NSI20191024,NSI20191024_0,27f519r_bacteria,,,,6,
102.100.100/139777,0.0,NSI20200228,NSI20200228_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139777,0.0,NSI20200228,NSI20200228_0,27f519r_bacteria,,,,312,
102.100.100/139778,0.0,NSI20200122,NSI20200122_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,2
102.100.100/139778,0.0,NSI20200122,NSI20200122_0,27f519r_bacteria,,,,98,
102.100.100/139780,0.0,PHB20170821,PHB20170821_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,76
102.100.100/139781,0.0,PHB20171211,PHB20171211_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,1764
102.100.100/139782,0.0,PHB20180123,PHB20180123_0,18Sv4F18Sv4R_v4_eukaryote,,1,21,,30
102.100.100/139783,0.0,PHB20180221,PHB20180221_0,18Sv4F18Sv4R_v4_eukaryote,,,15,,1
102.100.100/139783,0.0,PHB20180221,PHB20180221_0,27f519r_bacteria,,,,46,
102.100.100/139784,0.0,PHB20180326,PHB20180326_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,1
102.100.100/139784,0.0,PHB20180326,PHB20180326_0,27f519r_bacteria,,,,121,
102.100.100/139785,0.0,PHB20180528,PHB20180528_0,18Sv4F18Sv4R_v4_eukaryote,,1,5,,21
102.100.100/139786,0.0,PHB20180724,PHB20180724_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,8
102.100.100/139787,0.0,PHB20180905,PHB20180905_0,18Sv4F18Sv4R_v4_eukaryote,,,,,822
102.100.100/139788,0.0,PHB20180927,PHB20180927_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,1209
102.100.100/139789,0.0,PHB20181120,PHB20181120_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,186
102.100.100/139790,0.0,PHB20181218,PHB20181218_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,2692
102.100.100/139791,0.0,PHB20191216,PHB20191216_0,18Sv4F18Sv4R_v4_eukaryote,,1,11,,558
102.100.100/139791,0.0,PHB20191216,PHB20191216_0,27f519r_bacteria,,,,1,
102.100.100/139792,0.0,PHB20191118,PHB20191118_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,2838
102.100.100/139793,0.0,PHB20190121,PHB20190121_0,18Sv4F18Sv4R_v4_eukaryote,2,,9,,416
102.100.100/139794,0.0,PHB20190227,PHB20190227_0,18Sv4F18Sv4R_v4_eukaryote,,,25,,1
102.100.100/139794,0.0,PHB20190227,PHB20190227_0,27f519r_bacteria,,,,5,
102.100.100/139795,0.0,PHB20190408,PHB20190408_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,129
102.100.100/139795,0.0,PHB20190408,PHB20190408_0,27f519r_bacteria,,,,88,
102.100.100/139796,0.0,PHB20190522,PHB20190522_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139796,0.0,PHB20190522,PHB20190522_0,27f519r_bacteria,,,,178,
102.100.100/139797,0.0,PHB20190626,PHB20190626_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139798,0.0,PHB20190729,PHB20190729_0,18Sv4F18Sv4R_v4_eukaryote,,,,,3
102.100.100/139798,0.0,PHB20190729,PHB20190729_0,27f519r_bacteria,,,,2,
102.100.100/139799,0.0,PHB20190827,PHB20190827_0,18Sv4F18Sv4R_v4_eukaryote,,,,,475
102.100.100/139799,0.0,PHB20190827,PHB20190827_0,27f519r_bacteria,,,,28,
102.100.100/139800,0.0,PHB20190923,PHB20190923_0,18Sv4F18Sv4R_v4_eukaryote,,20,2,,3119
102.100.100/139801,0.0,PHB20191028,PHB20191028_0,18Sv4F18Sv4R_v4_eukaryote,,2,1,,441
102.100.100/139801,0.0,PHB20191028,PHB20191028_0,27f519r_bacteria,,,,1,
102.100.100/139802,0.0,ROT20170802,ROT20170802_0,18Sv4F18Sv4R_v4_eukaryote,,,8,,1
102.100.100/139803,0.0,ROT20171214,ROT20171214_0,18Sv4F18Sv4R_v4_eukaryote,,,,,2
102.100.100/139804,0.0,ROT20180125,ROT20180125_0,27f519r_bacteria,,,,1,
102.100.100/139806,0.0,ROT20180511,ROT20180511_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,2
102.100.100/139807,0.0,ROT20180620,ROT20180620_0,18Sv4F18Sv4R_v4_eukaryote,,1,1,,2
102.100.100/139808,0.0,ROT20180719,ROT20180719_0,18Sv4F18Sv4R_v4_eukaryote,,,7,,2
102.100.100/139809,0.0,ROT20180727,ROT20180727_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139810,0.0,ROT20180831,ROT20180831_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/139811,0.0,ROT20180921,ROT20180921_0,18Sv4F18Sv4R_v4_eukaryote,,1,62,,
102.100.100/139812,0.0,ROT20181024,ROT20181024_0,18Sv4F18Sv4R_v4_eukaryote,,1,23,,
102.100.100/139813,0.0,ROT20181130,ROT20181130_0,18Sv4F18Sv4R_v4_eukaryote,,,231,,
102.100.100/139813,0.0,ROT20181130,ROT20181130_0,27f519r_bacteria,,,,1,
102.100.100/139814,0.0,ROT20181211,ROT20181211_0,18Sv4F18Sv4R_v4_eukaryote,,,719,,
102.100.100/139815,0.0,ROT20190125,ROT20190125_0,18Sv4F18Sv4R_v4_eukaryote,,,553,,
102.100.100/139815,0.0,ROT20190125,ROT20190125_0,27f519r_bacteria,,,,4,
102.100.100/139816,0.0,ROT20190221,ROT20190221_0,18Sv4F18Sv4R_v4_eukaryote,,,126,,
102.100.100/139816,0.0,ROT20190221,ROT20190221_0,27f519r_bacteria,,,,1,
102.100.100/139817,0.0,ROT20190306,ROT20190306_0,18Sv4F18Sv4R_v4_eukaryote,,,70,,
102.100.100/139818,0.0,ROT20190507,ROT20190507_0,18Sv4F18Sv4R_v4_eukaryote,,,14,,
102.100.100/139819,0.0,ROT20190527,ROT20190527_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139820,0.0,ROT20190621,ROT20190621_0,18Sv4F18Sv4R_v4_eukaryote,,,11,,
102.100.100/139821,0.0,ROT20190711,ROT20190711_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139821,0.0,ROT20190711,ROT20190711_0,27f519r_bacteria,,,,2,
102.100.100/139822,0.0,ROT20190819,ROT20190819_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139823,0.0,ROT20191011,ROT20191011_0,18Sv4F18Sv4R_v4_eukaryote,,,10,,
102.100.100/139824,0.0,ROT20191104,ROT20191104_0,18Sv4F18Sv4R_v4_eukaryote,,,47,,
102.100.100/139824,0.0,ROT20191104,ROT20191104_0,27f519r_bacteria,,,,157,
102.100.100/139825,0.0,YON20170816,YON20170816_0,18Sv4F18Sv4R_v4_eukaryote,,,34,,
102.100.100/139825,0.0,YON20170816,YON20170816_0,27f519r_bacteria,,,,12,
102.100.100/139826,0.0,YON20170906,YON20170906_0,18Sv4F18Sv4R_v4_eukaryote,,,25,,
102.100.100/139826,0.0,YON20170906,YON20170906_0,27f519r_bacteria,,,,197,
102.100.100/139827,0.0,YON20171025,YON20171025_0,18Sv4F18Sv4R_v4_eukaryote,,,15,,
102.100.100/139827,0.0,YON20171025,YON20171025_0,27f519r_bacteria,,,,149,
102.100.100/139828,0.0,YON20171130,YON20171130_0,18Sv4F18Sv4R_v4_eukaryote,,,18,,1
102.100.100/139828,0.0,YON20171130,YON20171130_0,27f519r_bacteria,,,,48,
102.100.100/139829,0.0,YON20171215,YON20171215_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139829,0.0,YON20171215,YON20171215_0,27f519r_bacteria,,,,100,
102.100.100/139830,0.0,YON20180130,YON20180130_0,18Sv4F18Sv4R_v4_eukaryote,,,19,,
102.100.100/139830,0.0,YON20180130,YON20180130_0,27f519r_bacteria,,,,21,
102.100.100/139831,0.0,YON20180329,YON20180329_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139831,0.0,YON20180329,YON20180329_0,27f519r_bacteria,,,,39,
102.100.100/139832,0.0,YON20180425,YON20180425_0,18Sv4F18Sv4R_v4_eukaryote,,,22,,1
102.100.100/139832,0.0,YON20180425,YON20180425_0,27f519r_bacteria,,,,13,
102.100.100/139833,0.0,YON20180602,YON20180602_0,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139833,0.0,YON20180602,YON20180602_0,27f519r_bacteria,,,,26,
102.100.100/139834,0.0,YON20180621,YON20180621_0,18Sv4F18Sv4R_v4_eukaryote,,,21,,
102.100.100/139834,0.0,YON20180621,YON20180621_0,27f519r_bacteria,,,,1,
102.100.100/139835,0.0,YON20180720,YON20180720_0,18Sv4F18Sv4R_v4_eukaryote,,,29,,1
102.100.100/139836,0.0,YON20180817,YON20180817_0,18Sv4F18Sv4R_v4_eukaryote,,,112,,
102.100.100/139836,0.0,YON20180817,YON20180817_0,27f519r_bacteria,,,,9,
102.100.100/139837,0.0,YON20180927,YON20180927_0,18Sv4F18Sv4R_v4_eukaryote,,,31,,
102.100.100/139837,0.0,YON20180927,YON20180927_0,27f519r_bacteria,,,,16,
102.100.100/139838,0.0,YON20181011,YON20181011_0,18Sv4F18Sv4R_v4_eukaryote,,,14,,
102.100.100/139838,0.0,YON20181011,YON20181011_0,27f519r_bacteria,,,,8,
102.100.100/139839,0.0,YON20181123,YON20181123_0,18Sv4F18Sv4R_v4_eukaryote,1,,17,,1
102.100.100/139839,0.0,YON20181123,YON20181123_0,27f519r_bacteria,,,,10,
102.100.100/139840,0.0,YON20181213,YON20181213_0,18Sv4F18Sv4R_v4_eukaryote,,,29,,
102.100.100/139840,0.0,YON20181213,YON20181213_0,27f519r_bacteria,,,,80,
102.100.100/139841,0.0,YON20190124,YON20190124_0,18Sv4F18Sv4R_v4_eukaryote,,,79,,
102.100.100/139841,0.0,YON20190124,YON20190124_0,27f519r_bacteria,,,,7,
102.100.100/139842,0.0,YON20190213,YON20190213_0,18Sv4F18Sv4R_v4_eukaryote,,5,,,
102.100.100/139842,0.0,YON20190213,YON20190213_0,27f519r_bacteria,,,,2,
102.100.100/139843,0.0,YON20190313,YON20190313_0,18Sv4F18Sv4R_v4_eukaryote,,2,6,,
102.100.100/139843,0.0,YON20190313,YON20190313_0,27f519r_bacteria,,,,5,
102.100.100/139844,0.0,YON20190507,YON20190507_0,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/139844,0.0,YON20190507,YON20190507_0,27f519r_bacteria,,,,17,
102.100.100/139845,0.0,YON20190528,YON20190528_0,18Sv4F18Sv4R_v4_eukaryote,,,11,,
102.100.100/139845,0.0,YON20190528,YON20190528_0,27f519r_bacteria,,,,41,
102.100.100/139846,0.0,YON20190703,YON20190703_0,18Sv4F18Sv4R_v4_eukaryote,,,36,,
102.100.100/139846,0.0,YON20190703,YON20190703_0,27f519r_bacteria,,,,138,
102.100.100/139847,0.0,YON20190808,YON20190808_0,18Sv4F18Sv4R_v4_eukaryote,,,2,,1
102.100.100/139847,0.0,YON20190808,YON20190808_0,27f519r_bacteria,,,,413,
102.100.100/139848,0.0,YON20190826,YON20190826_0,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139848,0.0,YON20190826,YON20190826_0,27f519r_bacteria,,,,1,
102.100.100/139849,0.0,YON20190917,YON20190917_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139849,0.0,YON20190917,YON20190917_0,27f519r_bacteria,,,,23,
102.100.100/139850,0.0,YON20191009,YON20191009_0,18Sv4F18Sv4R_v4_eukaryote,,,201,,1
102.100.100/139850,0.0,YON20191009,YON20191009_0,27f519r_bacteria,,,,6,
102.100.100/139851,0.0,YON20191107,YON20191107_0,18Sv4F18Sv4R_v4_eukaryote,,1,2,,
102.100.100/139851,0.0,YON20191107,YON20191107_0,27f519r_bacteria,,,,104,
102.100.100/139852,0.0,YON20191202,YON20191202_0,18Sv4F18Sv4R_v4_eukaryote,,,17,,
102.100.100/139852,0.0,YON20191202,YON20191202_0,27f519r_bacteria,,,,39,
102.100.100/139853,0.0,YON20200212,YON20200212_0,18Sv4F18Sv4R_v4_eukaryote,,,6,,
102.100.100/139853,0.0,YON20200212,YON20200212_0,27f519r_bacteria,,,,13,
102.100.100/139854,0.0,YON20200116,YON20200116_0,18Sv4F18Sv4R_v4_eukaryote,,,3,,
102.100.100/139854,0.0,YON20200116,YON20200116_0,27f519r_bacteria,,,,233,
102.100.100/139855,50.0,KAI20170908,KAI20170908_50,18Sv4F18Sv4R_v4_eukaryote,,,6,,16
102.100.100/139856,50.0,KAI20171129,KAI20171129_50,18Sv4F18Sv4R_v4_eukaryote,,,160,,13
102.100.100/139857,50.0,KAI20180307,KAI20180307_50,18Sv4F18Sv4R_v4_eukaryote,,,22,,33
102.100.100/139857,50.0,KAI20180307,KAI20180307_50,27f519r_bacteria,,,,10,
102.100.100/139858,75.0,KAI20180515,KAI20180515_75,18Sv4F18Sv4R_v4_eukaryote,,,21,,
102.100.100/139859,20.0,MAI20170921,MAI20170921_20,18Sv4F18Sv4R_v4_eukaryote,,11,13,,
102.100.100/139860,0.0,MAI20171015,MAI20171015_0,18Sv4F18Sv4R_v4_eukaryote,,4,4,,
102.100.100/139861,20.0,MAI20171123,MAI20171123_20,18Sv4F18Sv4R_v4_eukaryote,,,113,,
102.100.100/139862,20.0,MAI20171217,MAI20171217_20,18Sv4F18Sv4R_v4_eukaryote,,,151,,
102.100.100/139863,20.0,MAI20180116,MAI20180116_20,18Sv4F18Sv4R_v4_eukaryote,,1,39,,
102.100.100/139864,50.0,MAI20180301,MAI20180301_50,18Sv4F18Sv4R_v4_eukaryote,2,34,17,,4
102.100.100/139865,50.0,MAI20180315,MAI20180315_50,18Sv4F18Sv4R_v4_eukaryote,,,17,,4
102.100.100/139866,50.0,MAI20180418,MAI20180418_50,18Sv4F18Sv4R_v4_eukaryote,,1,2,,661
102.100.100/139867,75.0,MAI20180605,MAI20180605_75,18Sv4F18Sv4R_v4_eukaryote,,2,9,,5
102.100.100/139868,75.0,MAI20180627,MAI20180627_75,18Sv4F18Sv4R_v4_eukaryote,,,1,,11
102.100.100/139869,75.0,MAI20180711,MAI20180711_75,18Sv4F18Sv4R_v4_eukaryote,,,21,,7
102.100.100/139870,20.0,MAI20180919,MAI20180919_20,18Sv4F18Sv4R_v4_eukaryote,,1,4,,375
102.100.100/139871,20.0,NSI20170829,NSI20170829_20,18Sv4F18Sv4R_v4_eukaryote,,,3,,3
102.100.100/139871,20.0,NSI20170829,NSI20170829_20,27f519r_bacteria,,,,4,
102.100.100/139872,20.0,NSI20170927,NSI20170927_20,18Sv4F18Sv4R_v4_eukaryote,,,6,,1
102.100.100/139872,20.0,NSI20170927,NSI20170927_20,27f519r_bacteria,,,,2,
102.100.100/139874,30.0,ROT20170802,ROT20170802_30,18Sv4F18Sv4R_v4_eukaryote,,,11,,
102.100.100/139875,30.0,ROT20180511,ROT20180511_30,18Sv4F18Sv4R_v4_eukaryote,,,3,,1
102.100.100/139876,10.0,ROT20180620,ROT20180620_10,18Sv4F18Sv4R_v4_eukaryote,,,4,,
102.100.100/139877,30.0,ROT20180719,ROT20180719_30,18Sv4F18Sv4R_v4_eukaryote,,,7,,
102.100.100/139878,30.0,ROT20180727,ROT20180727_30,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139879,40.0,ROT20180831,ROT20180831_40,18Sv4F18Sv4R_v4_eukaryote,,,5,,
102.100.100/139880,30.0,ROT20180921,ROT20180921_30,18Sv4F18Sv4R_v4_eukaryote,,1,20,,3
102.100.100/139881,100.0,KAI20170908,KAI20170908_100,18Sv4F18Sv4R_v4_eukaryote,,,24,,6
102.100.100/139882,100.0,KAI20171129,KAI20171129_100,18Sv4F18Sv4R_v4_eukaryote,,,16,,2
102.100.100/139884,100.0,KAI20180515,KAI20180515_100,18Sv4F18Sv4R_v4_eukaryote,,,34,,
102.100.100/139885,100.0,KAI20181204,KAI20181204_100,18Sv4F18Sv4R_v4_eukaryote,,,131,,
102.100.100/139886,100.0,KAI20191127,KAI20191127_100,18Sv4F18Sv4R_v4_eukaryote,,,201,,12
102.100.100/139887,100.0,KAI20190320,KAI20190320_100,18Sv4F18Sv4R_v4_eukaryote,,,10,,5
102.100.100/139888,100.0,KAI20190909,KAI20190909_100,18Sv4F18Sv4R_v4_eukaryote,,1,31,,7
102.100.100/139889,75.0,MAI20170921,MAI20170921_75,18Sv4F18Sv4R_v4_eukaryote,,5,17,,
102.100.100/139890,85.0,MAI20171015,MAI20171015_85,18Sv4F18Sv4R_v4_eukaryote,,2,,,1
102.100.100/139891,85.0,MAI20171123,MAI20171123_85,18Sv4F18Sv4R_v4_eukaryote,,,1,,1
102.100.100/139892,85.0,MAI20171217,MAI20171217_85,18Sv4F18Sv4R_v4_eukaryote,,,25,,1
102.100.100/139893,85.0,MAI20180116,MAI20180116_85,18Sv4F18Sv4R_v4_eukaryote,,,28,,
102.100.100/139894,85.0,MAI20180301,MAI20180301_85,18Sv4F18Sv4R_v4_eukaryote,,,2,,
102.100.100/139895,85.0,MAI20180315,MAI20180315_85,18Sv4F18Sv4R_v4_eukaryote,,,1,,
102.100.100/139896,85.0,MAI20180418,MAI20180418_85,18Sv4F18Sv4R_v4_eukaryote,,9,3,,54
102.100.100/139897,85.0,MAI20180605,MAI20180605_85,18Sv4F18Sv4R_v4_eukaryote,,,9,,
102.100.100/139898,85.0,MAI20180627,MAI20180627_85,18Sv4F18Sv4R_v4_eukaryote,,,11,,
102.100.100/139899,85.0,MAI20180711,MAI20180711_85,18Sv4F18Sv4R_v4_eukaryote,,,4,,
